middle_area,0,1,2,3,4
上本町・鶴橋,0.34,0.32,0.25,0.07,0.02
九条･西九条･弁天町･大正･住之江,0.58,0.21,0.05,0.05,0.11
京橋・天満・天六・南森町,0.31,0.24,0.35,0.0,0.1
堺・高石市・和泉市,0.31,0.28,0.07,0.22,0.12
大阪市その他,0.2,0.2,0.4,0.1,0.1
大阪府その他,0.42,0.0,0.08,0.5,0.0
天王寺,0.38,0.35,0.15,0.03,0.09
心斎橋・なんば・南船場・堀江,0.13,0.12,0.22,0.0,0.53
東大阪市・八尾市・平野・大東市,0.33,0.25,0.16,0.19,0.06
松原市･藤井寺市･富田林･南河内,0.14,0.34,0.14,0.36,0.02
枚方・寝屋川・守口・門真,0.14,0.32,0.16,0.32,0.05
梅田,0.14,0.11,0.19,0.0,0.56
江坂・西中島・新大阪・十三,0.3,0.29,0.2,0.02,0.18
泉大津･岸和田･泉佐野･りんくう,0.1,0.27,0.16,0.35,0.12
淀屋橋・本町・北浜・天満橋,0.31,0.22,0.31,0.0,0.17
福島・野田,0.75,0.12,0.04,0.04,0.04
箕面・池田,0.18,0.21,0.18,0.35,0.09
茨木,0.39,0.13,0.19,0.23,0.06
針中野･長居･西田辺･西成区･住吉,0.29,0.46,0.17,0.09,0.0
関目・千林・緑橋・深江橋,0.42,0.32,0.23,0.0,0.03
高槻,0.07,0.47,0.27,0.13,0.07
