id,name,station_name,small_area,middle_area,lat,lng,budget.average,capacity,open,parking,child,mobile_access,wifi,card,non_smoking,url,walk_minutes,budget_numeric,wifi_flag,card_flag,non_smoking_score,parking_flag,child_flag,closed_days,closed_days_count,lunch_flag,midnight_flag,business_style,style_weekday_off,style_weekend_off,area_store_count,cluster
J003432112,ao coffe&gallery アオ コーヒー&ギャラリー ,扇町,太融寺,梅田,34.7002837999,135.5084695609,,12.0,月～金、祝前日: 12:00～17:00土、日、祝日: 12:00～18:00,なし,お子様連れOK,南森町駅から374m,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ003432112/?vos=nhppalsa000016,5.0,,0,0,2,0,1,なし,0,0,0,no_off,0,0,89,1
J003365501,アノサキコノサキ,中崎町,茶屋町・中崎町・中津,梅田,34.7066813157,135.5045560748,,20.0,月～水: 11:00～17:00 （料理L.O. 16:00 ドリンクL.O. 16:00）木: 11:00～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）金～日、祝日: 11:00～18:00 （料理L.O. 17:00 ドリンクL.O. 17:00）,なし,お子様連れOK,大阪ﾒﾄﾛ谷町線中崎町駅4出口より徒歩約1分,なし,利用可,全面禁煙,https://www.hotpepper.jp/strJ003365501/?vos=nhppalsa000016,1.0,,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,0
J004537148,ALOHA CAFE Pineapple アロハカフェ パイナップル 梅田茶屋町店,大阪梅田,茶屋町・中崎町・中津,梅田,34.7072925005,135.4987582288,ランチ：1000～1999円(税込),44.0,月～金: 08:00～18:00 （料理L.O. 17:00）土、日、祝日: 08:00～20:00 （料理L.O. 19:00）,なし,お子様連れ歓迎,阪急梅田駅から徒歩3分､大阪梅田駅(阪急)から248m,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ004537148/?vos=nhppalsa000016,3.0,1499.5,1,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J003806507,あんな食堂,東梅田,太融寺,梅田,34.7010235844,135.5028072541,,30.0,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌1:00 ドリンクL.O. 翌4:30）,なし,お子様連れ歓迎,東梅田駅から297m,あり,利用可,禁煙席なし,https://www.hotpepper.jp/strJ003806507/?vos=nhppalsa000016,4.0,,1,1,0,0,1,なし,0,0,1,no_off,0,0,89,4
J001280249,一六茶寮,大阪梅田,大阪駅前・大阪駅構内,梅田,34.7012806729,135.4983048622,～2000円,38.0,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,なし ：※近隣駐車場をご利用下さい。,お子様連れ歓迎 ：ご家族でもゆったりお食事していただけます。広めの店内ですので安心してご利用ください◎,阪神梅田本店9F/梅田駅直結/大阪梅田駅より徒歩約2分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001280249/?vos=nhppalsa000016,2.0,2000.0,1,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J003324112,WOCCA ROCCA curry and supported by MLESNA TEA ウォッカロッカヌカレーアンドサポーテッドバイムレスナティー,大阪梅田,茶屋町・中崎町・中津,梅田,34.7073080759,135.4996864803,,40.0,月～日、祝日、祝前日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,なし,お子様連れ不可,阪急梅田駅茶屋町口から徒歩1分｡,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003324112/?vos=nhppalsa000016,1.0,,0,1,2,0,0,なし,0,0,0,no_off,0,0,89,2
J001292500,宇治園 喫茶去 阪急三番街店,大阪梅田,西梅田,梅田,34.7059676441,135.4984599668,1200円,76.0,月～日: 10:00～20:00 （料理L.O. 19:15 ドリンクL.O. 19:15）,あり,お子様連れOK,各線 大阪梅田駅より徒歩約1分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ001292500/?vos=nhppalsa000016,1.0,1200.0,0,1,2,1,1,なし,0,0,0,no_off,0,0,89,4
J004493283,リバーカフェ 梅田 阪急三番街,大阪梅田,茶屋町・中崎町・中津,梅田,34.7047591718,135.4985291685,ランチ1300円,90.0,月～日: 11:00～22:30 （料理L.O. 21:30）,なし,お子様連れOK ：座席の都合上、ベビーカーのままご入店頂けるお席はございません。,阪急 梅田駅 徒歩1分/地下鉄御堂筋線 梅田駅 徒歩1分,なし,利用可,全面禁煙,https://www.hotpepper.jp/strJ004493283/?vos=nhppalsa000016,1.0,1300.0,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J001286487,89cafe,中崎町,茶屋町・中崎町・中津,梅田,34.7079961517,135.503926363,,19.0,火、水、金～日、祝日、祝前日: 12:00～17:00 （料理L.O. 16:30）,なし,お子様連れ歓迎,大阪ﾒﾄﾛ谷町線中崎町駅4出口より徒歩約4分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001286487/?vos=nhppalsa000016,4.0,,1,1,2,0,1,月、木,2,1,0,weekday_off,1,0,89,0
J003498702,大阪梅田 アフタヌーンティー ハイティー カフェーヌ,梅田,グランフロント・大阪駅北側,梅田,34.7067469445,135.4960690387,,120.0,月～日、祝日、祝前日: 07:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,あり ：詳細は問い合わせください,お子様連れOK ：ソファー席を完備しております,ｸﾞﾗﾝﾌﾛﾝﾄすぐ!大阪駅･梅田駅より徒歩2分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ003498702/?vos=nhppalsa000016,2.0,,1,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J004005185,OKASHI POWER BY POUND HOUSE オカシパワー バイ パウンドハウス,中津,大阪駅前・大阪駅構内,梅田,34.7052742053,135.4905292966,ランチ1500円,50.0,月～日、祝日: 09:00～19:30 （料理L.O. 19:00 ドリンクL.O. 19:00）,あり ：地下に駐車場がございますので、そちらをご利用くださいませ。,お子様連れOK,大阪駅から徒歩9分/梅田駅から13分/大阪駅から541m,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ004005185/?vos=nhppalsa000016,9.0,1500.0,1,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
